number,title,source_lines,missing_lines
1,李敖自传与回忆,1796,0
2,李敖自传与回忆续集,1451,0
3,我最难忘的事和人,924,0
4,李敖回忆录,1575,0
5,李敖快意恩仇录,1356,0
6,李敖议坛哀思录,3847,0
7,李敖风流自传,2947,0
8,李敖相关,2865,0
9,传统下的独白,1049,0
10,传统下的再白,202,0
11,独白下的传统,1098,0
12,李敖文存,897,0
13,李敖文存二集,620,0
14,波波颂,773,0
15,李敖全集,1797,0
16,教育与脸谱,1029,0
17,文化论战丹火录,1186,0
18,为中国思想趋向求答案,813,0
19,上下古今谈,990,0
20,世论新语,1358,0
21,求是新语,971,0
22,我是天安门,640,0
23,你是景福门,620,0
24,为自由招魂,965,0
25,你笨蛋，你笨蛋,2011,0
26,我梦碎，所以我梦醒,1307,0
27,李敖新刊,690,0
28,千秋万岁乌鸦求是合集,4275,0
29,李敖杂文集,245,0
30,千秋万岁编外集,3051,0
31,求是报,34975,0
32,北京法源寺,1482,0
33,上山·上山·爱,3558,0
34,红色11,1544,0
35,虚拟的十七岁,4250,0
36,阳痿美国,3537,0
37,第73烈士,1903,0
38,爱情的秘密,2032,0
39,李敖的情诗,2084,0
40,李语录,1526,0
41,李敖语录,3942,0
42,虽千万人，李敖往矣,4897,0
43,挑战李敖——敖语录,187,0
44,大学札记,785,0
45,早年日记,1850,0
46,大学日记后期甲集,1837,0
47,大学日记后期乙集,1794,0
48,一个预备军官的日记,9154,0
49,李敖秘藏日记,1435,0
50,李敖札记,552,0
51,李敖五五日记,2073,0
52,李敖随写录前集,1237,0
53,李敖随写录后集,1078,0
54,李敖报刊集,459,0
55,李敖书序集,450,0
56,李敖书序集续集,273,0
57,李敖对话录,1693,0
58,李敖访谈录1990-2018,4609,0
59,李敖情书集,1935,0
60,李敖书信集,1459,0
61,李敖书翰集,1363,0
62,李敖书简集,944,0
63,李敖书札集,994,0
64,李敖书笺集,834,0
65,李敖书牍集,901,0
66,李敖书函集,947,0
67,李敖书启集,913,0
68,坐牢家爸爸给女儿的八十封信,1638,0
69,给马戈的五十封信,801,0
70,李敖写的信,917,0
71,历史与人像,1226,0
72,读史指南,1062,0
73,为历史拨云,716,0
74,要把金针度与人,1341,0
75,中国性研究,1319,0
76,中国命研究,1230,0
77,中国近代史新论,950,0
78,中国现代史正论,832,0
79,中国现代史定论,1171,0
80,中国迷信新研,1042,0
81,中国艺术新研,935,0
82,李敖笑傲江湖,3875,0
